Date,Open,High,Low,Close,Adj Close,Volume
2006-08-18,64.389999,64.599998,64.150002,64.419998,39.981419,7185900
2006-08-21,64.269997,64.580002,64.190002,64.269997,39.888321,7325900
2006-08-22,64.239998,64.339996,64.029999,64.160004,39.820053,8278700
2006-08-23,64.000000,64.059998,63.799999,63.910000,39.664898,6592900
2006-08-24,64.300003,65.129997,64.239998,65.000000,40.341396,10664000
2006-08-25,64.730003,64.889999,64.610001,64.669998,40.369465,5534200
2006-08-28,64.790001,64.870003,64.550003,64.580002,40.313309,5976100
2006-08-29,64.500000,64.650002,64.300003,64.599998,40.325790,5313000
2006-08-30,64.720001,64.800003,64.599998,64.599998,40.325790,4434500
2006-08-31,64.660004,64.739998,64.419998,64.660004,40.363235,4613000
2006-09-01,64.870003,64.889999,64.580002,64.720001,40.400692,4693200
2006-09-05,64.599998,64.739998,64.209999,64.309998,40.144756,7092400
2006-09-06,64.000000,64.250000,63.919998,63.919998,39.901299,8509800
2006-09-07,63.509998,63.700001,63.250000,63.459999,39.614143,7407100
2006-09-08,63.509998,63.750000,63.380001,63.590000,39.695297,5914300
2006-09-11,63.650002,64.059998,63.590000,64.040001,39.976204,5211600
2006-09-12,63.959999,64.089996,63.730000,63.830002,39.845127,6994400
2006-09-13,63.950001,64.029999,63.779999,63.810001,39.832638,6285700
2006-09-14,63.750000,63.849998,63.419998,63.730000,39.782692,5393700
2006-09-15,63.599998,64.139999,63.599998,63.790001,39.820145,9656600
2006-09-18,63.950001,64.330002,63.889999,64.160004,40.051121,6976100
2006-09-19,64.160004,64.199997,63.950001,64.180000,40.063614,5246800
2006-09-20,64.400002,64.500000,64.139999,64.190002,40.069843,6282100
2006-09-21,64.169998,64.410004,64.050003,64.230003,40.094814,7406900
2006-09-22,64.040001,64.110001,63.849998,63.959999,39.926273,5604800
2006-09-25,64.250000,64.339996,64.019997,64.190002,40.069843,5748400
2006-09-26,64.400002,64.720001,64.349998,64.669998,40.369465,5894200
2006-09-27,64.540001,64.870003,64.519997,64.820000,40.463108,5516500
2006-09-28,64.879997,65.040001,64.809998,64.900002,40.513058,5016400
2006-09-29,64.940002,65.010002,64.650002,64.940002,40.538025,7671300
2006-10-02,65.000000,65.330002,64.940002,65.089996,40.631660,6237000
2006-10-03,65.059998,65.680000,64.970001,65.500000,40.887611,6944900
2006-10-04,65.540001,65.879997,65.370003,65.830002,41.093582,6168300
2006-10-05,65.300003,65.639999,65.110001,65.110001,40.644142,7998400
2006-10-06,65.010002,65.160004,64.860001,65.059998,40.612930,7134500
2006-10-09,64.900002,65.000000,64.660004,64.870003,40.494324,5545700
2006-10-10,64.839996,64.980003,64.699997,64.959999,40.550507,6047100
2006-10-11,64.889999,65.199997,64.800003,65.099998,40.637894,4855700
2006-10-12,65.230003,65.290001,64.779999,64.839996,40.475597,7902000
2006-10-13,65.739998,65.739998,64.500000,64.580002,40.313309,6413600
2006-10-16,65.050003,65.080002,64.699997,64.930000,40.531769,6357100
2006-10-17,65.629997,66.500000,65.500000,66.080002,41.249638,15308200
2006-10-18,66.680000,68.150002,66.500000,68.150002,42.541824,17880100
2006-10-19,68.000000,68.220001,67.839996,68.040001,42.473164,8608800
2006-10-20,68.400002,69.139999,68.269997,68.620003,42.835224,12064700
2006-10-23,68.349998,69.410004,68.330002,69.099998,43.134861,8941400
2006-10-24,68.599998,68.860001,68.260002,68.750000,42.916367,10853500
2006-10-25,68.750000,68.949997,68.470001,68.830002,42.966320,7007400
2006-10-26,68.769997,68.889999,68.080002,68.820000,42.960060,8171600
2006-10-27,68.599998,68.639999,68.000000,68.169998,42.554302,7945500
2006-10-30,68.330002,68.360001,67.550003,67.699997,42.260921,9175200
2006-10-31,67.800003,67.800003,67.230003,67.400002,42.073662,11950600
2006-11-01,67.379997,67.570000,66.849998,67.180000,41.936306,11145700
2006-11-02,67.150002,68.000000,67.089996,67.900002,42.385777,10374400
2006-11-03,68.000000,68.320000,67.760002,67.809998,42.329586,7102500
2006-11-06,68.230003,68.489998,67.589996,68.419998,42.710373,8041300
2006-11-07,68.169998,69.029999,68.139999,68.709999,42.891403,10671300
2006-11-08,68.029999,68.300003,67.410004,67.989998,42.441956,14318400
2006-11-09,67.519997,67.739998,65.820000,66.150002,41.293362,16574400
2006-11-10,66.000000,66.309998,65.480003,66.290001,41.380737,10113100
2006-11-13,66.250000,66.779999,65.750000,65.940002,41.162262,8794200
2006-11-14,65.419998,66.730003,65.309998,66.559998,41.549282,11365200
2006-11-15,66.559998,67.000000,66.419998,66.540001,41.536808,7773700
2006-11-16,66.500000,66.639999,65.809998,66.529999,41.530567,10445700
2006-11-17,66.639999,67.599998,66.550003,67.239998,41.973774,11117500
2006-11-20,67.580002,67.599998,66.830002,67.010002,41.830212,7973900
2006-11-21,66.900002,67.059998,66.309998,66.599998,41.574261,8304100
2006-11-22,66.510002,66.949997,66.489998,66.769997,41.680386,6992300
